book_name,book_abbrev,bible_part,book_category,deuterocanonical,original_language,n_chapters
Księga Rodzaju,rdz,Stary Testament,Pięcioksiąg,False,hebrajski,50
Księga Wyjścia,wj,Stary Testament,Pięcioksiąg,False,hebrajski,40
Księga Kapłańska,kpl,Stary Testament,Pięcioksiąg,False,hebrajski,27
Księga Liczb,lb,Stary Testament,Pięcioksiąg,False,hebrajski,36
Księga Powtórzonego Prawa,pwt,Stary Testament,Pięcioksiąg,False,hebrajski,34
Księga Jozuego,joz,Stary Testament,Księgi historyczne,False,hebrajski,24
Księga Sędziów,sdz,Stary Testament,Księgi historyczne,False,hebrajski,21
Księga Rut,rt,Stary Testament,Księgi historyczne,False,hebrajski,4
1 Księga Samuela,1sm,Stary Testament,Księgi historyczne,False,hebrajski,31
2 Księga Samuela,2sm,Stary Testament,Księgi historyczne,False,hebrajski,24
1 Księga Królewska,1krl,Stary Testament,Księgi historyczne,False,hebrajski,22
2 Księga Królewska,2krl,Stary Testament,Księgi historyczne,False,hebrajski,25
1 Księga Kronik,1krn,Stary Testament,Księgi historyczne,False,hebrajski,29
2 Księga Kronik,2krn,Stary Testament,Księgi historyczne,False,hebrajski,36
Księga Ezdrasza,ezd,Stary Testament,Księgi historyczne,False,hebrajski,10
Księga Nehemiasza,ne,Stary Testament,Księgi historyczne,False,hebrajski,13
Księga Estery,est,Stary Testament,Księgi historyczne,False,hebrajski,10
Księga Hioba,hi,Stary Testament,Księgi mądrościowe,False,hebrajski,42
Księga Psalmów,ps,Stary Testament,Księgi mądrościowe,False,hebrajski,150
Księga Przysłów,prz,Stary Testament,Księgi mądrościowe,False,hebrajski,31
Księga Koheleta,koh,Stary Testament,Księgi mądrościowe,False,hebrajski,12
Pieśń nad pieśniami,pnp,Stary Testament,Księgi mądrościowe,False,hebrajski,8
Księga Izajasza,iz,Stary Testament,Księgi prorockie,False,hebrajski,66
Księga Jeremiasza,jr,Stary Testament,Księgi prorockie,False,hebrajski,52
Lamentacje Jeremiasza,lm,Stary Testament,Księgi prorockie,False,hebrajski,5
Księga Ezechiela,ez,Stary Testament,Księgi prorockie,False,hebrajski,48
Księga Daniela,dn,Stary Testament,Księgi prorockie,False,hebrajski,12
Księga Ozeasza,oz,Stary Testament,Księgi prorockie,False,hebrajski,14
Księga Joela,jl,Stary Testament,Księgi prorockie,False,hebrajski,3
Księga Amosa,am,Stary Testament,Księgi prorockie,False,hebrajski,9
Księga Abdiasza,ab,Stary Testament,Księgi prorockie,False,hebrajski,0
